Date, Open, High, Low, Close
06/24/22, 1.0525, 1.0572, 1.0513, 1.0557
06/23/22, 1.0568, 1.0582, 1.0485, 1.0523
06/22/22, 1.0528, 1.0604, 1.0472, 1.0569
06/21/22, 1.0512, 1.0583, 1.0509, 1.0534
06/20/22, 1.0500, 1.0547, 1.0474, 1.0511
06/17/22, 1.0552, 1.0561, 1.0448, 1.0496
06/16/22, 1.0445, 1.0601, 1.0381, 1.0550
06/15/22, 1.0418, 1.0509, 1.0358, 1.0446
06/14/22, 1.0408, 1.0485, 1.0397, 1.0417
06/13/22, 1.0520, 1.0521, 1.0399, 1.0407
06/10/22, 1.0616, 1.0643, 1.0509, 1.0517
06/09/22, 1.0717, 1.0774, 1.0611, 1.0618
06/08/22, 1.0704, 1.0750, 1.0672, 1.0718
06/07/22, 1.0695, 1.0716, 1.0653, 1.0707
06/06/22, 1.0720, 1.0753, 1.0667, 1.0693
06/03/22, 1.0748, 1.0765, 1.0705, 1.0718
06/02/22, 1.0654, 1.0753, 1.0646, 1.0747
06/01/22, 1.0736, 1.0743, 1.0628, 1.0651
05/31/22, 1.0779, 1.0784, 1.0680, 1.0735
05/30/22, 1.0730, 1.0789, 1.0725, 1.0780
05/27/22, 1.0716, 1.0765, 1.0697, 1.0736
05/26/22, 1.0681, 1.0734, 1.0662, 1.0730
05/25/22, 1.0736, 1.0742, 1.0642, 1.0680
05/24/22, 1.0691, 1.0750, 1.0547, 1.0736
05/23/22, 1.0562, 1.0698, 1.0557, 1.0692
05/20/22, 1.0587, 1.0599, 1.0533, 1.0564
05/19/22, 1.0471, 1.0609, 1.0459, 1.0586
05/18/22, 1.0550, 1.0564, 1.0460, 1.0465
05/17/22, 1.0433, 1.0555, 1.0429, 1.0553
05/16/22, 1.0413, 1.0445, 1.0390, 1.0433
05/13/22, 1.0381, 1.0420, 1.0351, 1.0413
05/12/22, 1.0513, 1.0531, 1.0357, 1.0382
05/11/22, 1.0529, 1.0577, 1.0506, 1.0514
05/10/22, 1.0559, 1.0587, 1.0527, 1.0532
05/09/22, 1.0556, 1.0594, 1.0495, 1.0561
05/06/22, 1.0540, 1.0599, 1.0483, 1.0548
05/05/22, 1.0621, 1.0642, 1.0494, 1.0541
05/04/22, 1.0521, 1.0633, 1.0507, 1.0622
05/03/22, 1.0507, 1.0578, 1.0493, 1.0519
05/02/22, 1.0558, 1.0566, 1.0491, 1.0509
04/29/22, 1.0496, 1.0593, 1.0492, 1.0550
04/28/22, 1.0558, 1.0566, 1.0473, 1.0499
04/27/22, 1.0638, 1.0656, 1.0515, 1.0559
04/26/22, 1.0712, 1.0739, 1.0635, 1.0637
04/25/22, 1.0835, 1.0835, 1.0697, 1.0714
04/22/22, 1.0836, 1.0853, 1.0771, 1.0800
04/21/22, 1.0855, 1.0937, 1.0824, 1.0835
04/20/22, 1.0789, 1.0868, 1.0783, 1.0857
04/19/22, 1.0782, 1.0816, 1.0761, 1.0788
04/18/22, 1.0801, 1.0822, 1.0770, 1.0781
04/15/22, 1.0830, 1.0834, 1.0796, 1.0814
04/14/22, 1.0890, 1.0924, 1.0759, 1.0831
04/13/22, 1.0828, 1.0896, 1.0810, 1.0892
04/12/22, 1.0884, 1.0904, 1.0821, 1.0829
04/11/22, 1.0917, 1.0935, 1.0873, 1.0885
04/08/22, 1.0880, 1.0893, 1.0837, 1.0876
04/07/22, 1.0895, 1.0938, 1.0865, 1.0879
04/06/22, 1.0906, 1.0938, 1.0875, 1.0897
04/05/22, 1.0976, 1.0990, 1.0899, 1.0904
04/04/22, 1.1039, 1.1056, 1.0960, 1.0974
04/01/22, 1.1067, 1.1078, 1.1027, 1.1045
03/31/22, 1.1159, 1.1185, 1.1060, 1.1066
03/30/22, 1.1086, 1.1172, 1.1082, 1.1160
03/29/22, 1.0983, 1.1139, 1.0971, 1.1087
03/28/22, 1.0984, 1.1000, 1.0944, 1.0987
03/25/22, 1.0998, 1.1039, 1.0980, 1.0981
03/24/22, 1.1004, 1.1015, 1.0970, 1.0997
03/23/22, 1.1029, 1.1044, 1.0964, 1.1005
03/22/22, 1.1018, 1.1046, 1.0960, 1.1030
03/21/22, 1.1072, 1.1072, 1.1010, 1.1017
03/18/22, 1.1092, 1.1119, 1.1004, 1.1051
03/17/22, 1.1036, 1.1139, 1.1009, 1.1094
03/16/22, 1.0956, 1.1047, 1.0949, 1.1035
03/15/22, 1.0940, 1.1020, 1.0926, 1.0957
03/14/22, 1.0920, 1.0995, 1.0901, 1.0941
03/11/22, 1.0986, 1.1043, 1.0903, 1.0915
03/10/22, 1.1077, 1.1120, 1.0977, 1.0990
03/09/22, 1.0899, 1.1096, 1.0891, 1.1076
03/08/22, 1.0855, 1.0959, 1.0850, 1.0898
03/07/22, 1.0928, 1.0932, 1.0808, 1.0856
03/04/22, 1.1066, 1.1073, 1.0891, 1.0935
03/03/22, 1.1119, 1.1123, 1.1035, 1.1065
03/02/22, 1.1128, 1.1142, 1.1059, 1.1120
03/01/22, 1.1219, 1.1234, 1.1091, 1.1124
02/28/22, 1.1139, 1.1245, 1.1122, 1.1220
02/25/22, 1.1194, 1.1276, 1.1166, 1.1273
02/24/22, 1.1307, 1.1313, 1.1108, 1.1195
02/23/22, 1.1326, 1.1361, 1.1300, 1.1305
02/22/22, 1.1316, 1.1366, 1.1288, 1.1324
02/21/22, 1.1317, 1.1386, 1.1306, 1.1312
02/18/22, 1.1362, 1.1378, 1.1315, 1.1321
02/17/22, 1.1374, 1.1387, 1.1323, 1.1361
02/16/22, 1.1361, 1.1397, 1.1344, 1.1375
02/15/22, 1.1307, 1.1369, 1.1302, 1.1360
02/14/22, 1.1352, 1.1369, 1.1281, 1.1306
02/11/22, 1.1428, 1.1433, 1.1329, 1.1349
02/10/22, 1.1426, 1.1496, 1.1378, 1.1427
02/09/22, 1.1419, 1.1447, 1.1402, 1.1425
02/08/22, 1.1443, 1.1450, 1.1397, 1.1418
02/07/22, 1.1468, 1.1468, 1.1416, 1.1442
02/04/22, 1.1440, 1.1484, 1.1413, 1.1448
02/03/22, 1.1303, 1.1451, 1.1269, 1.1438
02/02/22, 1.1274, 1.1329, 1.1266, 1.1305
02/01/22, 1.1234, 1.1280, 1.1221, 1.1273
01/31/22, 1.1141, 1.1248, 1.1139, 1.1235
01/28/22, 1.1146, 1.1175, 1.1121, 1.1148
01/27/22, 1.1241, 1.1244, 1.1133, 1.1145
01/26/22, 1.1302, 1.1313, 1.1236, 1.1240
01/25/22, 1.1327, 1.1332, 1.1265, 1.1301
01/24/22, 1.1343, 1.1346, 1.1292, 1.1325
01/21/22, 1.1312, 1.1361, 1.1301, 1.1345
01/20/22, 1.1342, 1.1369, 1.1302, 1.1311
01/19/22, 1.1326, 1.1358, 1.1319, 1.1343
01/18/22, 1.1408, 1.1423, 1.1316, 1.1327
01/17/22, 1.1416, 1.1436, 1.1393, 1.1407
01/14/22, 1.1456, 1.1483, 1.1399, 1.1416
01/13/22, 1.1441, 1.1482, 1.1436, 1.1455
01/12/22, 1.1367, 1.1455, 1.1356, 1.1442
01/11/22, 1.1325, 1.1377, 1.1314, 1.1370
01/10/22, 1.1362, 1.1362, 1.1286, 1.1327
01/07/22, 1.1297, 1.1366, 1.1291, 1.1363
01/06/22, 1.1313, 1.1333, 1.1284, 1.1300
01/05/22, 1.1287, 1.1347, 1.1277, 1.1314
01/04/22, 1.1298, 1.1322, 1.1273, 1.1288
01/03/22, 1.1367, 1.1380, 1.1280, 1.1299
12/31/21, 1.1324, 1.1387, 1.1303, 1.1373
12/30/21, 1.1352, 1.1361, 1.1299, 1.1327
12/29/21, 1.1308, 1.1369, 1.1275, 1.1350
12/28/21, 1.1326, 1.1335, 1.1289, 1.1311
12/27/21, 1.1321, 1.1336, 1.1302, 1.1327
12/24/21, 1.1329, 1.1345, 1.1303, 1.1322
12/23/21, 1.1325, 1.1343, 1.1291, 1.1328
12/22/21, 1.1288, 1.1342, 1.1263, 1.1326
12/21/21, 1.1280, 1.1303, 1.1260, 1.1287
12/20/21, 1.1241, 1.1304, 1.1235, 1.1276
12/17/21, 1.1335, 1.1350, 1.1236, 1.1239
12/16/21, 1.1286, 1.1361, 1.1281, 1.1329
12/15/21, 1.1260, 1.1300, 1.1223, 1.1292
12/14/21, 1.1286, 1.1325, 1.1254, 1.1260
12/13/21, 1.1319, 1.1321, 1.1261, 1.1285
12/10/21, 1.1294, 1.1324, 1.1265, 1.1318
12/09/21, 1.1342, 1.1348, 1.1279, 1.1293
12/08/21, 1.1269, 1.1357, 1.1265, 1.1343
12/07/21, 1.1285, 1.1300, 1.1227, 1.1267
12/06/21, 1.1316, 1.1320, 1.1266, 1.1286
12/03/21, 1.1301, 1.1334, 1.1266, 1.1314
12/02/21, 1.1320, 1.1348, 1.1296, 1.1302
12/01/21, 1.1339, 1.1361, 1.1302, 1.1321
11/30/21, 1.1293, 1.1383, 1.1240, 1.1340
11/29/21, 1.1304, 1.1316, 1.1259, 1.1294
11/26/21, 1.1211, 1.1332, 1.1206, 1.1318
11/25/21, 1.1199, 1.1232, 1.1198, 1.1209
11/24/21, 1.1249, 1.1256, 1.1186, 1.1200
11/23/21, 1.1237, 1.1276, 1.1226, 1.1248
11/22/21, 1.1289, 1.1294, 1.1231, 1.1235
11/19/21, 1.1372, 1.1376, 1.1249, 1.1280
11/18/21, 1.1321, 1.1376, 1.1314, 1.1374
11/17/21, 1.1321, 1.1334, 1.1264, 1.1319
11/16/21, 1.1368, 1.1387, 1.1309, 1.1321
11/15/21, 1.1446, 1.1464, 1.1357, 1.1366
11/12/21, 1.1449, 1.1462, 1.1435, 1.1444
11/11/21, 1.1480, 1.1489, 1.1442, 1.1448
11/10/21, 1.1594, 1.1597, 1.1478, 1.1478
11/09/21, 1.1588, 1.1609, 1.1570, 1.1596
11/08/21, 1.1551, 1.1597, 1.1550, 1.1587
11/05/21, 1.1555, 1.1575, 1.1514, 1.1567
11/04/21, 1.1614, 1.1619, 1.1528, 1.1557
11/03/21, 1.1581, 1.1617, 1.1563, 1.1611
11/02/21, 1.1606, 1.1615, 1.1576, 1.1580
11/01/21, 1.1563, 1.1610, 1.1545, 1.1605
10/29/21, 1.1683, 1.1691, 1.1535, 1.1563
10/28/21, 1.1604, 1.1693, 1.1583, 1.1683
10/27/21, 1.1597, 1.1627, 1.1584, 1.1603
10/26/21, 1.1608, 1.1627, 1.1584, 1.1596
10/25/21, 1.1645, 1.1666, 1.1591, 1.1610
10/22/21, 1.1623, 1.1657, 1.1621, 1.1646
10/21/21, 1.1652, 1.1668, 1.1620, 1.1626
10/20/21, 1.1634, 1.1660, 1.1617, 1.1650
10/19/21, 1.1612, 1.1670, 1.1608, 1.1632
10/18/21, 1.1601, 1.1624, 1.1571, 1.1614
10/15/21, 1.1599, 1.1621, 1.1587, 1.1599
10/14/21, 1.1595, 1.1625, 1.1583, 1.1600
10/13/21, 1.1529, 1.1599, 1.1527, 1.1596
10/12/21, 1.1554, 1.1571, 1.1524, 1.1531
10/11/21, 1.1580, 1.1587, 1.1549, 1.1555
10/08/21, 1.1554, 1.1585, 1.1542, 1.1577
10/07/21, 1.1558, 1.1574, 1.1548, 1.1553
10/06/21, 1.1600, 1.1605, 1.1529, 1.1559
10/05/21, 1.1621, 1.1623, 1.1581, 1.1599
10/04/21, 1.1597, 1.1641, 1.1587, 1.1620
10/01/21, 1.1581, 1.1608, 1.1563, 1.1594
09/30/21, 1.1599, 1.1610, 1.1563, 1.1577
09/29/21, 1.1683, 1.1691, 1.1589, 1.1598
09/28/21, 1.1698, 1.1704, 1.1669, 1.1684
09/27/21, 1.1717, 1.1729, 1.1684, 1.1696
09/24/21, 1.1740, 1.1748, 1.1701, 1.1721
09/23/21, 1.1689, 1.1751, 1.1683, 1.1739
09/22/21, 1.1726, 1.1756, 1.1684, 1.1688
09/21/21, 1.1725, 1.1749, 1.1715, 1.1727
09/20/21, 1.1728, 1.1738, 1.1701, 1.1728
09/17/21, 1.1763, 1.1789, 1.1724, 1.1726
09/16/21, 1.1819, 1.1823, 1.1751, 1.1765
09/15/21, 1.1803, 1.1833, 1.1800, 1.1816
09/14/21, 1.1810, 1.1846, 1.1800, 1.1804
09/13/21, 1.1811, 1.1819, 1.1769, 1.1811
09/10/21, 1.1824, 1.1852, 1.1809, 1.1810
09/09/21, 1.1816, 1.1843, 1.1805, 1.1825
09/08/21, 1.1841, 1.1853, 1.1803, 1.1818
09/07/21, 1.1870, 1.1886, 1.1838, 1.1843
09/06/21, 1.1880, 1.1888, 1.1856, 1.1871
09/03/21, 1.1876, 1.1909, 1.1866, 1.1879
09/02/21, 1.1840, 1.1878, 1.1833, 1.1874
09/01/21, 1.1810, 1.1859, 1.1793, 1.1842
08/31/21, 1.1797, 1.1848, 1.1795, 1.1808
08/30/21, 1.1800, 1.1811, 1.1783, 1.1799
08/27/21, 1.1751, 1.1804, 1.1735, 1.1797
08/26/21, 1.1773, 1.1782, 1.1746, 1.1752
08/25/21, 1.1756, 1.1776, 1.1726, 1.1771
08/24/21, 1.1747, 1.1766, 1.1727, 1.1759
08/23/21, 1.1699, 1.1751, 1.1692, 1.1745
08/20/21, 1.1678, 1.1706, 1.1664, 1.1701
08/19/21, 1.1711, 1.1718, 1.1666, 1.1679
08/18/21, 1.1709, 1.1744, 1.1695, 1.1709
08/17/21, 1.1779, 1.1785, 1.1707, 1.1707
08/16/21, 1.1799, 1.1803, 1.1767, 1.1777
08/13/21, 1.1730, 1.1805, 1.1728, 1.1797
08/12/21, 1.1741, 1.1749, 1.1724, 1.1729
08/11/21, 1.1718, 1.1755, 1.1705, 1.1740
08/10/21, 1.1738, 1.1744, 1.1709, 1.1722
08/09/21, 1.1764, 1.1770, 1.1735, 1.1736
08/06/21, 1.1832, 1.1838, 1.1755, 1.1764
08/05/21, 1.1837, 1.1859, 1.1828, 1.1834
08/04/21, 1.1866, 1.1902, 1.1832, 1.1839
08/03/21, 1.1871, 1.1894, 1.1854, 1.1865
08/02/21, 1.1869, 1.1898, 1.1860, 1.1873
07/30/21, 1.1886, 1.1909, 1.1852, 1.1868
07/29/21, 1.1843, 1.1894, 1.1841, 1.1888
07/28/21, 1.1819, 1.1851, 1.1773, 1.1844
07/27/21, 1.1804, 1.1843, 1.1770, 1.1818
07/26/21, 1.1772, 1.1819, 1.1764, 1.1803
